exam_schedule,the students number in each time slot,courses,
0,1409,5,6,7,11,12,14,17,18,19,25,26,32,37,40,42,48,49,59,64,68,73,74,76,79,90,92,94,97,104,114,120,
1,1406,0,1,4,9,21,24,33,45,51,60,70,82,91,93,101,103,108,119,127,131,136,140,143,156,158,160,169,171,
2,1402,3,8,15,29,38,41,43,44,47,54,
3,1418,2,20,27,36,39,56,63,67,69,72,83,95,122,124,126,142,144,150,151,166,173,175,183,184,192,204,212,213,215,247,263,270,
4,1441,13,57,58,61,77,84,86,89,121,125,128,133,138,141,145,
5,1401,16,31,55,65,71,87,96,99,106,134,
6,1551,22,
7,1418,10,66,80,81,100,113,123,153,167,174,177,178,199,206,207,
8,1581,23,28,30,
9,1517,46,
10,1475,34,
11,1702,62,
12,1493,50,53,78,102,105,115,148,162,164,172,191,196,205,208,209,211,221,222,227,230,256,259,266,
13,1452,98,110,129,149,157,159,170,176,180,188,193,195,210,216,
14,1413,35,85,116,117,137,146,152,163,202,218,223,240,252,264,
15,1496,52,135,161,165,185,201,203,214,219,245,253,268,269,273,275,280,287,289,295,306,308,309,312,319,349,356,
16,1426,75,88,
17,1456,107,111,112,154,179,181,189,226,239,254,257,258,261,272,286,292,296,310,318,327,333,353,
18,1470,109,130,147,182,197,200,224,228,241,246,250,267,274,276,282,298,307,323,324,326,328,334,337,345,351,359,361,
19,1415,132,139,168,187,198,235,284,290,297,301,336,
20,1401,118,190,220,233,237,243,251,300,316,329,330,340,355,357,358,360,364,365,368,369,386,
21,1489,155,194,217,234,271,278,291,293,311,313,315,317,325,331,363,366,374,376,379,394,397,398,
22,1481,225,238,255,260,281,288,343,370,392,403,409,414,415,426,428,432,437,449,457,459,472,482,490,493,499,503,504,518,
23,1410,231,236,244,249,265,277,302,314,320,346,367,393,400,402,417,422,427,429,435,440,445,454,475,486,
24,1411,242,279,352,381,382,390,401,408,441,
25,1421,229,262,283,294,335,344,373,384,385,395,406,431,433,442,447,448,456,458,460,464,468,492,510,513,517,522,524,527,528,545,554,566,570,575,582,
26,3296,186,
27,1408,232,248,305,321,347,371,375,387,391,421,423,430,446,461,467,470,
28,1428,299,322,339,348,378,404,425,434,436,443,450,452,469,471,474,476,488,502,507,508,531,534,549,550,560,568,571,581,588,591,596,599,602,616,626,
29,1411,285,303,399,407,410,419,424,439,444,455,473,483,485,489,494,506,519,525,538,548,551,
30,1469,332,342,372,438,462,463,465,466,491,497,501,505,515,521,526,533,546,564,577,580,584,586,590,595,612,617,618,635,644,652,654,658,663,664,
31,1425,350,354,388,396,411,412,451,496,529,537,540,557,569,572,579,587,601,609,615,629,645,648,666,670,674,675,677,686,
32,1401,338,362,377,383,453,477,480,481,484,509,536,542,544,547,567,573,576,611,614,619,
33,1408,380,413,516,543,552,553,563,606,622,628,632,646,649,655,660,665,678,685,694,696,700,702,705,708,713,714,729,736,740,747,751,764,769,771,781,792,
34,1410,341,405,500,511,512,523,530,539,593,600,603,624,625,630,633,636,639,643,667,669,683,689,698,719,724,731,733,738,
35,1460,416,418,498,532,559,562,574,597,610,641,647,651,668,672,690,703,707,723,737,741,744,749,759,763,766,768,776,788,793,809,811,827,831,840,
36,1412,420,535,555,556,585,598,620,642,656,679,680,699,715,725,728,734,742,746,755,773,782,783,786,795,797,808,814,
37,1410,304,389,495,565,583,589,653,657,676,687,691,726,743,760,775,790,794,796,803,812,825,826,829,832,843,846,848,867,881,884,895,923,
38,1490,514,541,561,578,592,594,604,621,623,631,634,640,688,701,704,718,720,730,752,756,778,805,838,841,842,849,853,864,878,879,880,893,903,933,952,
39,1405,478,558,613,637,650,662,671,711,757,765,770,777,780,784,791,801,815,816,828,844,847,859,862,863,865,887,892,894,901,905,929,931,936,
40,1408,608,659,697,706,710,717,732,767,772,785,798,817,819,834,836,854,875,883,885,886,889,896,900,910,
41,1408,479,605,627,682,721,727,748,753,789,802,810,822,823,856,898,913,919,926,930,939,970,975,
42,1477,520,661,681,693,695,750,754,761,799,807,820,833,835,845,850,855,866,868,873,874,924,948,953,954,960,964,974,987,
43,1404,607,638,709,739,758,774,806,858,869,871,882,891,906,916,945,947,958,963,983,993,1007,1010,1013,1019,1029,1030,1040,1041,
44,1405,712,716,722,762,861,876,914,927,938,942,949,972,973,989,997,1003,1005,1037,1045,1047,1052,1053,1054,1059,1060,1061,1067,1070,1074,1081,
45,1418,487,745,800,821,830,839,857,860,904,928,940,944,978,981,986,992,996,1004,1031,1055,
46,1401,684,804,877,920,925,932,935,937,956,961,965,991,1006,1024,1026,1027,1028,1033,1049,1062,1063,1064,1065,1073,1083,1094,1098,1100,1104,1106,1109,1115,1118,1119,1129,1138,1140,1147,1148,1150,1159,1160,1162,1167,1187,1190,1195,1196,1197,1199,1201,1204,1205,1206,1207,1209,1210,1213,1229,1236,1240,
47,1404,673,692,779,787,851,888,897,902,909,915,917,941,957,962,968,971,979,988,998,1000,1011,
48,1401,813,872,899,921,946,966,969,999,1009,1014,1018,1025,1032,1042,1051,1071,1076,1079,1089,
49,915,824,837,870,934,955,990,1012,1020,1035,1038,1043,1084,1087,1088,1096,1101,1107,1110,1113,1114,1116,1120,1121,1126,1127,1130,1141,1143,1152,1153,1155,1158,1166,1169,1170,1171,1173,1181,1186,1189,1198,1200,1203,1214,1219,1221,1225,1231,1232,1234,1241,1017,1149,1161,1176,
50,615,818,984,1001,1008,1034,1056,1057,1058,1072,1086,1103,1122,1128,1131,1139,1144,1145,1146,1183,1185,1188,1191,1202,1212,1222,1223,1226,1237,1069,1105,1075,
51,912,890,908,911,912,951,994,1002,1036,1091,1108,1111,1112,1125,1135,1136,1154,1175,1177,1233,1238,1239,1156,
52,984,735,852,907,985,1015,1044,1066,1077,1082,1085,1093,1123,1134,1168,1174,1192,1208,1215,1216,1218,1230,1235,1023,1178,1099,
53,407,918,980,1048,1095,1117,1132,1137,1151,1165,1194,1211,1224,1227,1228,1217,1220,1142,
54,692,922,943,1078,1092,1124,1163,1164,1172,1179,1180,1184,1102,
55,452,967,977,1022,1046,1090,1097,1133,1157,1193,1182,982,
